RCDTS,RCDT,Site_Number,Site_County,District_Clean,City_Clean,Site_Address,Site_Zip,School_Name_Clean,Title_1_Status,#_Student_Enrollment,%_Student_Enrollment_-_Low_Income,Student_Attendance_Rate,Student_Chronic_Truancy_Rate,Chronically_Truant_Students,High_School_Dropout_Rate_-_Total,High_School_4-Year_Graduation_Rate_-_Total,Chronic_Absenteeism,Free_Eligibles,Reduced_Eligibles,PaidEligibles,Enrollment,Eligibility_Percent,Participates_in_CEP,Poverty_Level
110213010261004,11021301026,10506,Douglas,tuscola cusd 301,tuscola,409 S Prairie St,61953-1770,east prairie middle school,"Eligible, but Not a Participant in Title I Program",292,38.4,95,4.7,12,NA,NA,11.2,101,13,179,293,38.909999999999997,Non-CEP,Mid-Low Poverty
110213010262002,11021301026,10507,Douglas,tuscola cusd 301,tuscola,1201 N Prairie St,61953-9255,north ward elementary school,Schoolwide Title I Program,365,40.8,98.3,4.2,10,NA,NA,2.5,137,18,210,365,42.47,Non-CEP,Mid-Low Poverty
110213020260001,11021302026,10508,Douglas,villa grove cusd 302,villa grove,400 N Sycamore St,61956-9771,villa grove high school,"Eligible, but Not a Participant in Title I Program",193,34.7,93.3,2.6,5,2.8,78.8,27.6,56,11,125,192,34.9,Non-CEP,Mid-Low Poverty
110213020261001,11021302026,10509,Douglas,villa grove cusd 302,villa grove,400 N Sycamore St,61956-9771,villa grove jr high school,"Eligible, but Not a Participant in Title I Program",106,50,94.4,0.9,1,NA,NA,19.5,45,8,53,106,50,Non-CEP,Mid-Low Poverty
110213020262001,11021302026,10510,Douglas,villa grove cusd 302,villa grove,400 N Sycamore St,61956-9771,villa grove elem school,Targeted Assistance Title I Program,352,52.8,95.2,1.7,5,NA,NA,10.6,163,11,179,353,49.29,Non-CEP,Mid-High Poverty
110213050260001,11021305026,10511,Douglas,arthur cusd 305,arthur,301 E Columbia St,61911-1403,arthurlovingtonatwoodhammond high school,Schoolwide Title I Program,322,39.1,92.3,8.9,29,2.3,91.8,22.7,112,16,207,335,38.21,Non-CEP,Mid-Low Poverty
110213050262003,11021305026,10513,Douglas,arthur cusd 305,arthur,126 E Lincoln St,61911-1318,arthur grade school,Schoolwide Title I Program,387,40.6,96.1,2.2,7,NA,NA,6.6,115,18,218,351,37.89,Non-CEP,Mid-Low Poverty
110213050262004,11021305026,68282,Moultrie,arthur cusd 305,lovington,330 S High St,61937-9360,lovington grade school,Schoolwide Title I Program,196,56.6,94.9,3.8,4,NA,NA,19.1,97,13,88,198,55.56,Non-CEP,Mid-High Poverty
110213050262005,11021305026,71814,Piatt,arthur cusd 305,atwood,316 N Illinois St,61913-7201,atwoodhammond grade school,Schoolwide Title I Program,270,43,95.1,2.7,6,NA,NA,9,114,5,158,277,42.96,Non-CEP,Mid-Low Poverty
110213060260001,11021306026,10514,Douglas,arcola cusd 306,arcola,351 W Washington St,61910-1120,arcola high school,"Eligible, but Not a Participant in Title I Program",332,47,94.5,9.9,32,2,98.1,14.8,141,12,181,334,45.81,Non-CEP,Mid-Low Poverty
110213060262002,11021306026,70043,Douglas,arcola cusd 306,arcola,351 W Washington St,61910-1120,arcola elementary school,Schoolwide Title I Program,385,48.1,95.3,5.7,16,NA,NA,9.9,152,18,153,323,52.63,Non-CEP,Mid-Low Poverty
110230010260001,11023001026,10519,Edgar,shiloh cusd 1,hume,21751 N 575th St,61932-7013,shiloh high school,Schoolwide Title I Program,183,47,93.3,7.6,15,6.3,75.7,21.9,165,0,20,185,88.99,CEP,Mid-Low Poverty
110230010262002,11023001026,10521,Edgar,shiloh cusd 1,hume,21751 N 575th St,61932-7013,shiloh elementary school,Schoolwide Title I Program,179,54.7,95.2,1.6,2,NA,NA,9.5,158,0,25,183,85.97,CEP,Mid-High Poverty
110230030260001,11023003026,10522,Edgar,kansas cusd 3,kansas,310 S Front,61933-6205,kansas high school,"Eligible, but Not a Participant in Title I Program",102,48,92.7,9.7,10,7.6,80,24.2,51,1,52,104,50,Non-CEP,Mid-Low Poverty
110230030262002,11023003026,10523,Edgar,kansas cusd 3,kansas,310 S Front,61933-6205,kansas elem school,Targeted Assistance Title I Program,95,53.7,95.9,0,0,NA,NA,5.3,55,6,41,102,59.8,Non-CEP,Mid-High Poverty
110230040261001,11023004026,10524,Edgar,paris cusd 4,paris,15601 US Highway 150,61944-6071,crestwood jr high school,"Eligible, but Not a Participant in Title I Program",151,37.7,95.7,1.3,2,NA,NA,8.6,49,10,94,153,38.56,Non-CEP,Mid-Low Poverty
110230040262001,11023004026,10525,Edgar,paris cusd 4,paris,15601 US Highway 150,61944-6071,crestwood elem school,Schoolwide Title I Program,336,32.7,96.1,0.4,1,NA,NA,8,90,10,185,285,35.090000000000003,Non-CEP,Mid-Low Poverty
110230060260001,11023006026,10526,Edgar,edgar county cud 6,chrisman,23231 IL Highway 1,61924-7801,chrisman high school,"Eligible, but Not a Participant in Title I Program",100,38,94.9,11.1,11,4.7,92.9,19.1,36,4,62,102,39.22,Non-CEP,Mid-Low Poverty
110230060261001,11023006026,45696,Edgar,edgar county cud 6,chrisman,23231 IL Highway 1,61924-7801,chrismanscottland jr high school,"Eligible, but Not a Participant in Title I Program",75,48,95.6,7.5,6,NA,NA,15,37,1,39,77,49.35,Non-CEP,Mid-Low Poverty
110230060262003,11023006026,10527,Edgar,edgar county cud 6,chrisman,111 N Pennsylvania St,61924-1238,chrisman elem school,Schoolwide Title I Program,147,42.9,96,1,1,NA,NA,3.8,60,1,65,126,48.41,Non-CEP,Mid-Low Poverty
110230950251001,11023095025,10529,Edgar,parisunion sd 95,paris,300 E Wood St,61944-1848,mayo middle school,Schoolwide Title I Program,275,63.6,95.6,0,0,NA,NA,10.3,150,12,112,274,59.12,Non-CEP,Mid-High Poverty
110230950252003,11023095025,10530,Edgar,parisunion sd 95,paris,509 E Newton St,61944-2421,memorial elementary school,Schoolwide Title I Program,315,58.1,94.3,8.1,14,NA,NA,17.4,167,10,108,285,62.11,Non-CEP,Mid-High Poverty
110230950252006,11023095025,10533,Edgar,parisunion sd 95,paris,437 W Washington St,61944-1726,carolyn wenz elem school,Schoolwide Title I Program,302,64.6,95.9,0,0,NA,NA,6.4,165,10,124,299,58.53,Non-CEP,Mid-High Poverty
110238000800001,11023800080,62870,Edgar,paris cooperative high school,paris,14040 E 1200th Rd,61944-8401,paris cooperative high school,NA,559,43.5,93.8,NA,NA,4.5,90.5,NA,222,18,314,554,43.32,Non-CEP,Mid-Low Poverty
110703000260004,11070300026,10534,Moultrie,sullivan cusd 300,sullivan,725 N Main St,61951-1540,sullivan high school,Schoolwide Title I Program,304,39.1,94.3,1.6,5,2.5,92.2,13.1,107,21,177,305,41.97,Non-CEP,Mid-Low Poverty
110703000261001,11070300026,10536,Moultrie,sullivan cusd 300,sullivan,713 N Main St,61951-1540,sullivan middle school,Schoolwide Title I Program,350,46.9,95.5,0.3,1,NA,NA,8.8,145,21,186,352,47.16,Non-CEP,Mid-Low Poverty
110703000262001,11070300026,10535,Moultrie,sullivan cusd 300,sullivan,910 N Graham St,61951-1114,sullivan elem school,Schoolwide Title I Program,500,44,96.3,0.9,3,NA,NA,3,181,20,226,427,47.07,Non-CEP,Mid-Low Poverty
110703020260001,11070302026,10537,Moultrie,okaw valley cusd 302,bethany,PO Box 249,61914-0249,okaw valley high school,"Eligible, but Not a Participant in Title I Program",157,43.3,93.5,8,13,3.3,97.8,22.6,58,7,90,155,41.94,Non-CEP,Mid-Low Poverty
110703020261001,11070302026,10545,Shelby,okaw valley cusd 302,findlay,501 W Division St,62534-9679,okaw valley middle school,"Eligible, but Not a Participant in Title I Program",161,47.8,94.2,2.5,4,NA,NA,19.1,59,11,92,162,43.21,Non-CEP,Mid-Low Poverty
110703020262001,11070302026,10538,Moultrie,okaw valley cusd 302,bethany,PO Box 98,61914-0098,okaw valley elementary school,Schoolwide Title I Program,190,41.1,95.4,4.2,5,NA,NA,6.8,68,13,75,156,51.92,Non-CEP,Mid-Low Poverty
110870010260002,11087001026,10542,Shelby,windsor cusd 1,windsor,1424 Minnesota Ave,61957-1010,windsor jr  sr high school,"Eligible, but Not a Participant in Title I Program",145,40,94.3,3.4,5,5.5,87.5,18.5,98,0,47,145,67.03,CEP,Mid-Low Poverty
110870010262002,11087001026,10543,Shelby,windsor cusd 1,windsor,808 Wisconsin Ave,61957-1249,windsor elem school,Schoolwide Title I Program,223,49.3,95.2,2.6,4,NA,NA,13,190,0,20,210,90.43,CEP,Mid-Low Poverty
11087003A260001,11087003A26,10563,Shelby,cowdenherrick cusd 3a,cowden,633 County Highway 22,62422-4104,cowdenherrick jrsr high school,Schoolwide Title I Program,211,64,94.9,2.9,6,2.5,94.1,18.8,110,9,93,212,56.13,Non-CEP,Mid-High Poverty
11087003A262001,11087003A26,10556,Shelby,cowdenherrick cusd 3a,herrick,301 N Broadway St,62431-1001,cowdenherrick grade school,Schoolwide Title I Program,144,76.4,94.9,4.4,5,NA,NA,17.4,96,15,35,146,76.03,Non-CEP,High Poverty
110870040260001,11087004026,10549,Shelby,shelbyville cusd 4,shelbyville,1001 W North 6th St,62565-1294,shelbyville high school,"Eligible, but Not a Participant in Title I Program",312,41.7,93.6,11.2,36,3.2,88.5,24.9,134,11,175,320,45.31,Non-CEP,Mid-Low Poverty
110870040262002,11087004026,10550,Shelby,shelbyville cusd 4,shelbyville,1101 W North 6th St,62565-1293,moulton elementary school,Schoolwide Title I Program,443,41.5,95.3,6.3,28,NA,NA,12.6,167,26,253,446,43.27,Non-CEP,Mid-Low Poverty
110870040262003,11087004026,10551,Shelby,shelbyville cusd 4,shelbyville,225 W Main St,62565-1525,main street elementary school,Schoolwide Title I Program,340,43.8,95.6,2.4,6,NA,NA,8.7,141,15,185,341,45.75,Non-CEP,Mid-Low Poverty
110870040262006,11087004026,10552,Shelby,shelbyville cusd 4,shelbyville,225 W Main St,62565-1525,shelbyville kindergarten center,Schoolwide Title I Program,85,42.4,NA,NA,NA,NA,NA,NA,35,2,48,85,43.53,Non-CEP,Mid-Low Poverty
11087005A260001,11087005A26,10553,Shelby,stewardsonstrasburg cud 5a,strasburg,2806 E 600 North Rd,62465-4102,stewardsonstrasburg high school,Schoolwide Title I Program,110,29.1,95.1,6.4,7,5.2,92.6,13.7,28,5,77,110,30,Non-CEP,Mid-Low Poverty
11087005A262003,11087005A26,10554,Shelby,stewardsonstrasburg cud 5a,strasburg,2806 E 600 North Rd,62465-4102,stewardsonstrasburg elem school,Schoolwide Title I Program,264,34.1,96.8,0.9,2,NA,NA,4.7,79,10,178,267,33.33,Non-CEP,Mid-Low Poverty
110870210260001,11087021026,10558,Shelby,central a  m cud 21,moweaqua,229 E Pine St,62550-1041,central a  m high school,"Eligible, but Not a Participant in Title I Program",223,34.5,95,4.5,10,2.4,93.9,16.1,79,7,139,225,38.22,Non-CEP,Mid-Low Poverty
110870210261001,11087021026,10559,Christian,central a  m cud 21,assumption,404 Colegrove St,62510-1344,central a  m middle school,"Eligible, but Not a Participant in Title I Program",162,38.9,95.9,1.7,3,NA,NA,8.7,59,9,96,164,41.46,Non-CEP,Mid-Low Poverty
110870210262001,11087021026,10560,Shelby,central a  m cud 21,moweaqua,221 E Pine St,62550-1041,gregory intermediate,Schoolwide Title I Program,127,37,96.8,0,0,NA,NA,6.2,40,8,80,128,37.5,Non-CEP,Mid-Low Poverty
110870210262002,11087021026,10561,Christian,central a  m cud 21,assumption,105 N College St,62510-1032,bond primary,Schoolwide Title I Program,176,36.9,95.7,1.1,1,NA,NA,8,57,4,86,147,41.5,Non-CEP,Mid-Low Poverty
120130100260002,12013010026,10564,Clay,clay city cusd 10,clay city,PO Box 542,62824-0542,clay city high school,"Eligible, but Not a Participant in Title I Program",51,58.8,93.8,13.3,6,9.4,NA,22.2,29,0,22,51,56.86,Non-CEP,Mid-High Poverty
120130100261001,12013010026,10565,Clay,clay city cusd 10,clay city,PO Box 542,62824-0542,clay city jr high school,Schoolwide Title I Program,85,63.5,94.9,6.5,5,NA,NA,16.9,54,6,32,92,65.22,Non-CEP,Mid-High Poverty
120130100262001,12013010026,10566,Clay,clay city cusd 10,clay city,PO Box 542,62824-0542,clay city elem school,Schoolwide Title I Program,195,65.6,95.3,5.8,7,NA,NA,9.2,131,11,92,234,60.68,Non-CEP,Mid-High Poverty
120130250260001,12013025026,10567,Clay,north clay cusd 25,louisville,PO Box 220,62858-0220,north clay community high school,"Eligible, but Not a Participant in Title I Program",191,40.8,96.9,7.7,10,9.3,70.9,10.8,70,12,114,196,41.84,Non-CEP,Mid-Low Poverty
120130250262004,12013025026,10568,Clay,north clay cusd 25,louisville,PO Box 279,62858-0279,north clay elemjr high sch,Schoolwide Title I Program,426,53.5,96,3.8,13,NA,NA,7.6,192,22,177,391,54.73,Non-CEP,Mid-High Poverty
120130350260001,12013035026,10569,Clay,flora cusd 35,flora,600 S Locust St,62839-2174,flora high school,"Eligible, but Not a Participant in Title I Program",352,40.1,94.7,9.2,32,6.9,81.8,18.3,114,28,214,356,39.89,Non-CEP,Mid-Low Poverty
120130350261001,12013035026,10570,Clay,flora cusd 35,flora,609 N Stanford Rd,62839-2632,floyd henson jr high sch,Schoolwide Title I Program,298,58.1,93.1,9.2,28,NA,NA,19.3,156,24,125,305,59.02,Non-CEP,Mid-High Poverty
120130350262008,12013035026,73395,Clay,flora cusd 35,flora,445 Emory St,62839-2701,flora elementary school,Schoolwide Title I Program,745,57.9,95.8,1.5,8,NA,NA,7.1,326,44,253,623,59.39,Non-CEP,Mid-High Poverty
120170010260001,12017001026,10575,Crawford,hutsonville cusd 1,hutsonville,500 W Clover St,62433-1017,hutsonville high school,"Eligible, but Not a Participant in Title I Program",108,47.2,96.4,3,3,3.6,93.1,9,44,6,50,100,50,Non-CEP,Mid-Low Poverty
120170010262002,12017001026,10576,Crawford,hutsonville cusd 1,hutsonville,500 W Clover St,62433-1017,hutsonville elem and jr high sch,Schoolwide Title I Program,217,51.2,95.5,5.5,9,NA,NA,10.4,97,10,113,220,48.64,Non-CEP,Mid-High Poverty
120170020260001,12017002026,10577,Crawford,robinson cusd 2,robinson,2000 N Cross St,62454-2515,robinson high school,"Eligible, but Not a Participant in Title I Program",460,38.3,94.9,7.1,33,2.3,90.3,15.8,156,24,284,464,38.79,Non-CEP,Mid-Low Poverty
120170020261005,12017002026,10578,Crawford,robinson cusd 2,robinson,400 W Rustic St,62454-1756,nuttall middle school,"Eligible, but Not a Participant in Title I Program",357,44.3,95.5,6.7,24,NA,NA,10.1,140,14,204,358,43.02,Non-CEP,Mid-Low Poverty
120170020262004,12017002026,10579,Crawford,robinson cusd 2,robinson,301 E Poplar St,62454-2943,lincoln elementary school,Schoolwide Title I Program,360,46.7,95.4,1.1,4,NA,NA,8.9,160,12,192,364,47.25,Non-CEP,Mid-Low Poverty
120170020262007,12017002026,10580,Crawford,robinson cusd 2,robinson,507 W Condit St,62454-1962,washington elem school,Schoolwide Title I Program,423,44.9,94.8,0.4,1,NA,NA,12.1,145,10,198,353,43.91,Non-CEP,Mid-Low Poverty
120170030262002,12017003026,10582,Crawford,palestine cusd 3,palestine,205 S Washington St,62451-1060,palestine grade school,Schoolwide Title I Program,220,42.7,95.5,0,0,NA,NA,10.9,83,14,126,223,43.5,Non-CEP,Mid-Low Poverty
120170040260001,12017004026,10583,Crawford,oblong cusd 4,oblong,700 S Range St,62449-1605,oblong high school,"Eligible, but Not a Participant in Title I Program",173,40.5,94,6.7,10,5.6,78.3,19.5,63,7,103,173,40.46,Non-CEP,Mid-Low Poverty
120170040262002,12017004026,10584,Crawford,oblong cusd 4,oblong,600 W Main St,62449-1161,oblong elem school,Targeted Assistance Title I Program,434,47.5,94.5,2,7,NA,NA,14.8,182,19,205,406,49.51,Non-CEP,Mid-Low Poverty
120400010260001,12040001026,10586,Jasper,jasper county cud 1,newton,201 Westend Ave,62448-1100,newton comm high school,Schoolwide Title I Program,453,36.6,92.8,3.3,15,2.7,92.9,26.1,134,12,305,451,32.369999999999997,Non-CEP,Mid-Low Poverty
120400010261003,12040001026,10589,Jasper,jasper county cud 1,newton,1104 W Jourdan St,62448-2026,jasper co jr high,Schoolwide Title I Program,180,42.8,93.3,3.9,7,NA,NA,17.6,70,7,105,182,42.31,Non-CEP,Mid-Low Poverty
120400010262002,12040001026,10590,Jasper,jasper county cud 1,newton,101 Maxwell St,62448-1661,newton elem school,Schoolwide Title I Program,524,41,95.6,1.9,10,NA,NA,8.6,210,15,305,530,42.45,Non-CEP,Mid-Low Poverty
120400010262011,12040001026,10595,Jasper,jasper county cud 1,sainte marie,PO Box 157,62459-0157,ste marie elem school,Schoolwide Title I Program,121,33.1,NA,NA,NA,NA,NA,NA,34,0,46,80,42.5,Non-CEP,Mid-Low Poverty
120510100260001,12051010026,10596,Lawrence,red hill cusd 10,bridgeport,908 Church St,62417-1816,red hill jrsr high school,"Eligible, but Not a Participant in Title I Program",409,56.7,92.8,23.5,94,4.6,88.1,23.7,181,52,178,411,56.69,Non-CEP,Mid-High Poverty
120510100262005,12051010026,10598,Lawrence,red hill cusd 10,bridgeport,1300 N Main St,62417-1300,bridgeport grade school,Schoolwide Title I Program,366,63.1,95.3,15.8,33,NA,NA,11.5,138,43,101,282,64.180000000000007,Non-CEP,Mid-High Poverty
120510100262008,12051010026,10600,Lawrence,red hill cusd 10,sumner,110 W Locust St,62466-1185,sumner attendance center,Schoolwide Title I Program,183,57.9,95.6,9.2,17,NA,NA,8.2,87,19,76,182,58.24,Non-CEP,Mid-High Poverty
120510200260008,12051020026,10601,Lawrence,lawrence county cud 20,lawrenceville,2200 James St,62439-2028,lawrenceville high school,"Eligible, but Not a Participant in Title I Program",319,48,97.5,12.2,32,6.5,79,9.9,140,21,160,321,50.16,Non-CEP,Mid-Low Poverty
120510200261007,12051020026,10602,Lawrence,lawrence county cud 20,lawrenceville,1802 Cedar St,62439-2157,parkview jr high school,"Eligible, but Not a Participant in Title I Program",259,62.9,93,1.6,4,NA,NA,27.8,152,16,92,260,64.62,Non-CEP,Mid-High Poverty
120510200262007,12051020026,48554,Lawrence,lawrence county cud 20,lawrenceville,1900 Cedar St,62439-2156,parkside elementary school,Schoolwide Title I Program,566,53,94.7,2.1,9,NA,NA,12.5,290,35,201,526,61.79,Non-CEP,Mid-High Poverty
120800010260001,12080001026,10609,Richland,richland county cusd 1,olney,1200 E Laurel St,62450-2545,richland county high school,Schoolwide Title I Program,721,41.2,95.8,9,65,5.4,81.1,6,251,45,427,723,40.94,Non-CEP,Mid-Low Poverty
120800010261002,12080001026,10610,Richland,richland county cusd 1,olney,1099 N Van St,62450-3016,richland county middle school,Schoolwide Title I Program,486,48.1,95.1,4.9,24,NA,NA,8.9,198,26,257,481,46.57,Non-CEP,Mid-Low Poverty
120800010262008,12080001026,43128,Richland,richland county cusd 1,olney,1001 N Holly Rd,62450-4463,richland county elementary school,Schoolwide Title I Program,1135,59.9,93.6,5.4,42,NA,NA,18.5,430,62,543,1035,47.54,Non-CEP,Mid-High Poverty
130140010260001,13014001026,10619,Clinton,carlyle cusd 1,carlyle,1461 12th St,62231-1281,carlyle high school,"Eligible, but Not a Participant in Title I Program",307,38.8,95.1,9.2,27,7.7,83.9,13.7,114,14,181,309,41.42,Non-CEP,Mid-Low Poverty
130140010261001,13014001026,10620,Clinton,carlyle cusd 1,carlyle,1631 12th St,62231-1256,carlyle junior high school,Schoolwide Title I Program,323,46.1,95.6,2.5,8,NA,NA,10.2,126,26,171,323,47.06,Non-CEP,Mid-Low Poverty
130140010262002,13014001026,10621,Clinton,carlyle cusd 1,carlyle,951 6th St,62231-1247,carlyle elementary school,Schoolwide Title I Program,374,53.5,95.3,3.8,11,NA,NA,9.3,174,26,177,377,53.05,Non-CEP,Mid-High Poverty
130140030260006,13014003026,10623,Clinton,wesclin cusd 3,trenton,699 Wesclin Rd,NA,wesclin sr high school,NA,379,25.3,95.3,3.5,13,5.1,90.7,13.5,85,22,284,391,27.37,Non-CEP,Mid-Low Poverty
130140030262001,13014003026,10625,Clinton,wesclin cusd 3,trenton,308 N Washington St,62293-1244,trenton elem school,NA,261,39.5,96.4,1.4,2,NA,NA,2.9,51,10,134,195,31.28,Non-CEP,Mid-Low Poverty
130140030262005,13014003026,10628,Clinton,wesclin cusd 3,new baden,700 Marilyn Dr,62265-1132,new baden elementary school,Schoolwide Title I Program,231,39.8,95.8,1.2,2,NA,NA,9.9,94,14,123,231,46.75,Non-CEP,Mid-Low Poverty
130140030262006,13014003026,71898,Clinton,wesclin cusd 3,trenton,10003 State Route 160,62293-2624,wesclin middle school,"Eligible, but Not a Participant in Title I Program",493,38.7,96,3.1,15,NA,NA,6.9,179,14,310,503,38.369999999999997,Non-CEP,Mid-Low Poverty
130140120042001,13014012004,10631,Clinton,breese esd 12,breese,777 Memorial Dr,62230-1376,breese elem school,Schoolwide Title I Program,430,33.5,96.1,3.6,11,NA,NA,6.9,121,18,269,408,34.07,Non-CEP,Mid-Low Poverty
130140120042002,13014012004,10632,Clinton,breese esd 12,beckemeyer,PO Box 307,62219-0307,beckemeyer elem school,Schoolwide Title I Program,186,34.4,96.1,1.1,2,NA,NA,5.3,58,8,122,188,35.11,Non-CEP,Mid-Low Poverty
130140210022001,13014021002,10633,Clinton,aviston sd 21,aviston,350 S Hull St,62216-3407,aviston elem school,Targeted Assistance Title I Program,383,7.6,97.1,0,0,NA,NA,0,31,3,311,345,9.86,Non-CEP,Low Poverty
130140460022001,13014046002,10634,Marion,willow grove sd 46,centralia,815 W 7th St,62801-5726,willow grove elem school,Schoolwide Title I Program,184,58.7,95.2,13.1,19,NA,NA,11.7,157,0,0,157,100,CEP,Mid-High Poverty
130140570022001,13014057002,10635,Clinton,bartelso sd 57,bartelso,PO Box 267,62218-0267,bartelso elem school,Targeted Assistance Title I Program,173,10.4,97.9,0,0,NA,NA,0.7,13,3,137,153,10.46,Non-CEP,Low Poverty
130140600022001,13014060002,10636,Clinton,germantown sd 60,germantown,PO Box 400,62245-0400,germantown elem school,Targeted Assistance Title I Program,254,21.7,96.5,0.5,1,NA,NA,1.9,38,9,180,227,20.7,Non-CEP,Low Poverty
130140620022001,13014062002,10637,Clinton,damiansville sd 62,damiansville,101 E Main St,62215-1303,damiansville elem school,NA,109,28.4,96.9,0,0,NA,NA,0,29,3,56,88,36.36,Non-CEP,Mid-Low Poverty
130140630022001,13014063002,10638,Clinton,albers sd 63,albers,PO Box 104,62215-0104,albers elem school,Targeted Assistance Title I Program,204,19.6,97.1,0,0,NA,NA,1.9,36,1,145,182,20.329999999999998,Non-CEP,Low Poverty
130140710160001,13014071016,10639,Clinton,central chsd 71,breese,7740 Old US Highway 50,62230-3822,central comm high school,Targeted Assistance Title I Program,600,19,95.9,3.8,23,2.4,89.1,11,118,22,472,612,22.88,Non-CEP,Low Poverty
130141415022001,13014141502,10640,Clinton,st rose sd 1415,breese,18004 Saint Rose Rd,62230-2578,st rose elem school,Targeted Assistance Title I Program,184,21.2,97.4,0.7,1,NA,NA,2.2,29,7,117,153,23.53,Non-CEP,Low Poverty
130141860022001,13014186002,10641,Marion,north wamac sd 186,centralia,1500 Case St,62801-5050,north wamac grade school,Schoolwide Title I Program,120,90.8,94.8,12.1,13,NA,NA,19.5,122,0,0,122,100,CEP,High Poverty
130410010260001,13041001026,13040,Jefferson,waltonville cusd 1,waltonville,804 W Knob St,62894-2812,waltonville high school,"Eligible, but Not a Participant in Title I Program",111,31.5,95.1,7.4,8,6.1,87.5,17.5,33,4,74,111,33.33,Non-CEP,Mid-Low Poverty
130410010262002,13041001026,13041,Jefferson,waltonville cusd 1,waltonville,802 W Knob St,62894-2812,waltonville grade school,Schoolwide Title I Program,239,43.9,96.1,0,0,NA,NA,6.4,94,2,138,234,41.03,Non-CEP,Mid-Low Poverty
130410020042001,13041002004,13043,Jefferson,rome ccsd 2,dix,233 W South St,62830-1403,rome comm cons elem school,Schoolwide Title I Program,395,45.6,95.9,0.3,1,NA,NA,9.8,141,28,190,359,47.08,Non-CEP,Mid-Low Poverty
130410030042001,13041003004,13044,Jefferson,field ccsd 3,texico,21075 N Hails Ln,62889-2932,field elementary school,Schoolwide Title I Program,251,43.8,98.6,5.4,10,NA,NA,2.7,106,4,128,238,46.22,Non-CEP,Mid-Low Poverty
130410050042002,13041005004,13046,Jefferson,opdykebellerive ccsd 5,opdyke,PO Box 189,62872-0189,opdykebelle rive grade sch,Schoolwide Title I Program,136,61,95.2,0,0,NA,NA,6.6,110,0,18,128,85.5,CEP,Mid-High Poverty
130410060042001,13041006004,13048,Marion,grand prairie ccsd 6,centralia,21462 N Richview Ln,62801-8520,grand prairie elem school,Schoolwide Title I Program,75,98.7,96.1,0,0,NA,NA,7.6,69,0,7,76,90.35,CEP,High Poverty
130410120042001,13041012004,13051,Jefferson,mcclellan ccsd 12,mount vernon,9475 N IL Highway 148,62864-6379,mcclellan elementary school,NA,58,55.2,95.3,8.4,4,NA,NA,12.6,26,4,28,58,51.72,Non-CEP,Mid-High Poverty
130410790022001,13041079002,13053,Jefferson,summersville sd 79,mount vernon,1118 Fairfield Rd,62864-5726,summersville grade school,Schoolwide Title I Program,287,45.6,95.8,0.9,2,NA,NA,7.9,189,0,71,260,72.55,CEP,Mid-Low Poverty
130410800021001,13041080002,13054,Jefferson,mount vernon sd 80,mount vernon,1829 Broadway St,62864-2904,zadok casey middle school,Schoolwide Title I Program,431,78.7,93.3,9.3,41,NA,NA,22.2,430,0,2,432,99.35,CEP,High Poverty
130410800022002,13041080002,13055,Jefferson,mount vernon sd 80,mount vernon,623 S 34th St,62864-6203,j l buford intermediate ed ctr,Schoolwide Title I Program,301,86.4,93.9,14.1,42,NA,NA,21.5,305,0,0,305,100,CEP,High Poverty
130410800022008,13041080002,46369,Jefferson,mount vernon sd 80,mount vernon,401 N 30th St,62864-2355,dr nick osborne primary center,Schoolwide Title I Program,693,84.3,93.7,17.6,84,NA,NA,21.4,666,0,0,666,100,CEP,High Poverty
130410800023002,13041080002,13057,Jefferson,mount vernon sd 80,mount vernon,301 S 17th St,62864-4405,dr andy hall early educ ctr,Schoolwide Title I Program,246,93.1,NA,NA,NA,NA,NA,NA,319,0,0,319,100,CEP,High Poverty
130410820022001,13041082002,13061,Jefferson,bethel sd 82,mount vernon,1201 Bethel Rd,62864-7231,bethel grade school,Schoolwide Title I Program,184,77.7,94.7,11.9,18,NA,NA,18.4,170,0,0,170,100,CEP,High Poverty
130410990042001,13041099004,13062,Jefferson,farrington ccsd 99,bluford,20941 E Divide Rd,62814-2402,farrington elem school,Schoolwide Title I Program,58,37.9,96.2,0,0,NA,NA,10.2,18,2,41,61,32.79,Non-CEP,Mid-Low Poverty
130411780042001,13041178004,73382,Jefferson,spring garden community consolidated school district 178,mount vernon,14975 E Bakerville Rd,62864-7100,spring garden elementary school,Schoolwide Title I Program,147,52.4,94.8,10.9,11,NA,NA,14.9,111,0,18,129,85.85,CEP,Mid-High Poverty
130411780042002,13041178004,73383,Jefferson,spring garden community consolidated school district 178,ina,PO Box 129,62846-0129,spring garden middle school,Schoolwide Title I Program,102,100,94.8,11.1,11,NA,NA,22.1,84,0,18,102,82.2,CEP,High Poverty
130412010170001,13041201017,13064,Jefferson,mt vernon twp hsd 201,mount vernon,11101 N Wells Bypass Rd,62864-6588,mount vernon high school,Schoolwide Title I Program,1156,56.2,92.5,17.7,182,4.7,82.4,27.2,575,52,534,1161,54.01,Non-CEP,Mid-High Poverty
130412090270001,13041209027,73381,Jefferson,woodlawn unit school district 209,woodlawn,300 N Central St,62898-1136,woodlawn high school,Targeted Assistance Title I Program,175,33.1,96.8,3.4,6,1.7,95.3,7.3,44,4,129,177,27.12,Non-CEP,Mid-Low Poverty
